,AverageRisk%,AverageCertainty%,MinRisk%,MaxRisk%,MinCertainty%,MaxCertainty%
250-Anonymized,0.19099999999999998,100.0,0.055005500550055,3.4482758620689653,100.0,100.0
Deletion 10%,0.17221167761772319,90.083,0.0,3.4482758620689653,90.0,93.10344827586206
Deletion 30%,0.1337966053187547,70.086,0.0,3.4482758620689653,70.0,72.41379310344827
Deletion 50%,0.09533974087874318,50.051,0.0,3.4482758620689653,50.0,51.72413793103448
Deletion 70%,0.05718020009195095,30.086000000000006,0.0,3.4482758620689653,30.0,31.03448275862069
