,AverageRisk%,AverageCertainty%,MinRisk%,MaxRisk%,MinCertainty%,MaxCertainty%
250-Anonymized,0.191,100.0,0.055005500550055,3.4482758620689653,100.0,100.0
Deletion 10%,0.1716842316954954,89.91100000000002,0.0,3.4482758620689653,89.64143426294821,90.0
Deletion 30%,0.13348626199914096,69.914,0.0,3.4482758620689653,68.96551724137932,70.0
Deletion 50%,0.09536459618825184,49.949000000000005,0.0,3.4482758620689653,48.275862068965516,50.0
Deletion 70%,0.057075130719448405,29.913999999999994,0.0,3.4482758620689653,27.586206896551722,30.0
Original Dataset,62.881,100.0,0.08547,100.0,100.0,100.0
