Recall,Original Dataset,k50-anonymized,"k50, Deletion10%","k50, Deletion30%","k50, Deletion50%","k50, Deletion70%",k250-anonymized,"k250, Deletion10%","k250, Deletion30%","k250, Deletion50%","k250, Deletion70%"
Naive Bayes,89.932,90.188,90.32835820895522,90.42815383733593,90.2333413519365,90.29004968443668,90.264,90.441320402171,90.4039132673494,90.37235746316465,90.32089851584438
Decision Tree,95.044,95.228,95.30051236355534,95.25821058061555,95.23133670114666,95.22626561031288,95.584,95.57700863066108,95.45454545454545,95.45243433696348,95.24000534830861
KNN,95.288,95.4,95.46803296948096,95.35163638447871,95.19605484724562,95.20478044850275,95.588,95.52940653083014,95.4436752674638,95.30269058295964,94.90573606097072
SVM,94.876,94.524,94.74805079082202,94.5646816071531,94.4415042899527,94.3641734926816,94.704,94.70637957113622,94.60209394130098,94.4306534272902,94.09680438561307
Random Forest,97.036,96.592,96.77433726887949,96.77766951338339,96.87835779007297,97.03773331542905,96.524,96.5837707981137,96.58275645059787,96.74167200512491,96.7482283727771
Logistic Regression,95.196,95.72,95.6253063042994,95.63306012494982,95.41576457381123,95.52840069826776,95.76,95.45066287036214,95.41220893643802,95.59657270980142,95.52079154967242
AdaBoost,97.184,97.024,97.17219870795277,97.13245830228693,97.1566033197017,97.24452799785149,97.144,97.10694901681643,97.12969849533725,97.17248558616271,97.00762133975131
Bagging,96.692,96.308,96.50924482067276,96.5472574081504,96.60893272391948,96.7329125822479,96.244,96.31417385888423,96.37565078093712,96.4726137091608,96.49819494584838
