Precision,Original Dataset,k50-anonymized,"k50, Deletion10%","k50, Deletion30%","k50, Deletion50%","k50, Deletion70%",k250-anonymized,"k250, Deletion10%","k250, Deletion30%","k250, Deletion50%","k250, Deletion70%"
Naive Bayes,92.18521291344182,91.91590153886196,92.21640038436742,92.24197787074316,92.17139873239827,92.28167333057475,92.10757642931824,92.1690980560707,92.18543489441275,92.19227615208048,92.0424415897995
Decision Tree,95.20439843300429,95.26303953379434,95.37435660424464,95.34280966198347,95.33528885318705,95.3665202495781,95.53735046274544,95.54033032863771,95.44664727737232,95.48997727478485,95.27877427786734
KNN,94.96841349427228,95.20931304947705,95.23014132681172,95.1047286238913,94.92281890847303,94.93306217847685,95.41367944954024,95.30749851433521,95.20147206056771,95.03679229349594,94.65777853224164
SVM,95.14705401387512,94.8340733755222,95.03323458184026,94.86952417484493,94.76022397414317,94.69181300205649,94.994179771561,94.99616171334962,94.90278191974038,94.7502037541216,94.45558546533431
Random Forest,96.97863741036956,96.453701646727,96.63560020481904,96.64777698673392,96.77349013213862,96.96133489759089,96.35407120081727,96.41715702101877,96.41508003436375,96.59456776223732,96.64161039451253
Logistic Regression,94.81551421693376,95.4564604728808,95.32871824047547,95.32932909884869,95.08425005100943,95.20732027934935,95.55942648221168,95.12880654048374,95.07586474426566,95.28958418953175,95.25051233852248
AdaBoost,97.1732679237462,97.06059256737588,97.17189229655644,97.13181641873368,97.15779320419422,97.24442853696081,97.1774733803417,97.10905072914849,97.13367182023634,97.17523896623226,97.01814221802977
Bagging,96.53211252557972,96.1187272374333,96.33784622691687,96.37543573407059,96.4447994191878,96.58020901211752,96.06197411179484,96.13307018970394,96.1995984374001,96.29764022468416,96.3272483010314
